SRA,2Y29 WTT,null,Starts here,"Plat 2, NLL",Clapham Junction,1232 (1232),LO,2Y,null,1232 ,2
SRA,2L42 WTT,1235 (1240),Clapham Junction,Plat 2,Terminates here,null,LO,2L,1235 ,null,2
SRA,2F33 WTT,1236 (1236),Colchester Town,"Plat 9, ML",London Liverpool St,1236 (1236),LE,2F,1236 ,1236,9
SRA,2S27 WTT,1237 (1237),Bishops Stortford,Plat11,Terminates here,null,LE,2S,1237 ,null,11
SRA,1P28 WTT,1237,London Liverpool St,"Plat10, ML",Norwich,1238 (1238),LE,1P,1237,1238,10
SRA,2W82 WTT,1236 (1237),London Liverpool St,"Plat 8, EL",Shenfield,1238 (1238),LE,2W,1236,1238,8
SRA,2N57 WTT,null,Starts here,"Plat 1, NLL",Richmond,1239 (1239),LO,2N,null,1239 ,1
SRA,2W77 WTT,1237 (1237),Shenfield,"Plat 5, EL",London Liverpool St,1239 (1239),LE,2W,1237 ,1239 ,5
SRA,1K59 WTT,1239 (1239),Southend Victoria,"Plat 9, ML",London Liverpool St,1239 (1239),LE,1K,1239 ,1239,9
SRA,1K44 WTT,1241 (1242),London Liverpool St,"Plat10, ML",Southend Victoria,1242 (1242),LE,1K,1241,1242 ,10
SRA,2N48 WTT,1244 (1248),Richmond,Plat 1,Terminates here,null,LO,2N,1244 ,null,1
SRA,2F48 WTT,1244 (1245),London Liverpool St,"Plat10, ML",Colchester Town,1245 (1245),LE,2F,1244,1245 ,10
SRA,2Y30 WTT,null,Starts here,"Plat 2, NLL",Clapham Junction,1245 (1245),LO,2Y,null,1245 ,2
SRA,1P31 WTT,1245 (1245),Norwich,"Plat 9, ML",London Liverpool St,1246 (1246),LE,1P,1245 ,1246 ,9
SRA,2W84 WTT,1246 (1247),London Liverpool St,"Plat 8, EL",Shenfield,1248 (1248),LE,2W,1246,1248,8
SRA,2W79 WTT,1247 (1247),Shenfield,"Plat 5, EL",London Liverpool St,1249 (1249),LE,2W,1247 ,1249 ,5
SRA,2L43 WTT,1249 (1254),Clapham Junction,Plat 2,Terminates here,null,LO,2L,1249 ,null,2
SRA,2N59 WTT,null,Starts here,"Plat 1, NLL",Richmond,1252 (1252),LO,2N,null,1252 ,1
SRA,1F41 WTT,1252 (1252),Braintree,"Plat 9, ML",London Liverpool St,1252 (1252),LE,1F,1252 ,1252,9
SRA,1F24 WTT,1254 (1255),London Liverpool St,"Plat10, ML",Braintree,1255 (1255),LE,1F,1254,1255 ,10
SRA,2W86 WTT,1256 (1257),London Liverpool St,"Plat 8, EL",Shenfield,1258 (1258),LE,2W,1256,1258,8
SRA,2W81 WTT,1257 (1257),Shenfield,"Plat 5, EL",London Liverpool St,1259 (1259),LE,2W,1257 ,1259 ,5
SRA,2N50 WTT,1259 (1303),Richmond,Plat 1,Terminates here,null,LO,2N,1259 ,null,1
HMN,2N51 WTT,1200 (1158),Stratford (London),Plat 1 UPNLL,Richmond,1201 (1158),LO,2N,1200,1201 ,1
HMN,2Y27 WTT,1208 (1206),Stratford (London),Plat 1 UPNLL,Clapham Junction,1208 (1206),LO,2Y,1208 ,1208,1
HMN,2N53 WTT,1212 (1213),Stratford (London),Plat 1 UPNLL,Richmond,1213 (1213),LO,2N,1212,1213 ,1
HMN,2Y28 WTT,1222 (1221),Stratford (London),Plat 1 UPNLL,Clapham Junction,1223 (1221),LO,2Y,1222,1223 ,1
HMN,2N55 WTT,1227 (1228),Stratford (London),Plat 1 UPNLL,Richmond,1228 (1228),LO,2N,1227,1228 ,1
HMN,2Y29 WTT,1238 (1236),Stratford (London),Plat 1 UPNLL,Clapham Junction,1238 (1236),LO,2Y,1238 ,1238,1
HMN,2N57 WTT,1244 (1245),Stratford (London),Plat 1 UPNLL,Richmond,1245 (1245),LO,2N,1244,1245 ,1
HMN,2Y30 WTT,1252 (1251),Stratford (London),Plat 1 UPNLL,Clapham Junction,1253 (1251),LO,2Y,1252,1253 ,1
